ID,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
604399,f,10/22/1990,87.8,cbse,2009,84,cbse,6920,1,B.Tech/B.E.,instrumentation and control engineering,73.82,6920,1,Delhi,2013,650,665,810,0.694479328,485,366,-1,-1,-1,-1,-1,-0.159,0.3789,1.2396,0.1459,0.2889,445000
988334,m,5/15/1990,57,cbse,2010,64.5,cbse,6624,2,B.Tech/B.E.,computer science & engineering,65,6624,0,Uttar Pradesh,2014,440,435,210,0.3423149,365,-1,-1,-1,-1,-1,-1,1.1336,0.0459,1.2396,0.5262,-0.2859,110000
301647,m,8/21/1989,77.33,"maharashtra state board,pune",2007,85.17,amravati divisional board,9084,2,B.Tech/B.E.,electronics & telecommunications,61.94,9084,0,Maharashtra,2011,485,475,505,0.824666401,-1,400,-1,-1,-1,260,-1,0.51,-0.1232,1.5428,-0.2902,-0.2875,255000
582313,m,5/4/1991,84.3,cbse,2009,86,cbse,8195,1,B.Tech/B.E.,computer science & engineering,80.4,8195,1,Delhi,2013,675,620,635,0.990008757,655,-1,-1,-1,-1,-1,-1,-0.4463,0.2124,0.3174,0.2727,0.4805,420000
339001,f,10/30/1990,82,cbse,2008,75,cbse,4889,2,B.Tech/B.E.,biotechnology,64.3,4889,1,Tamil Nadu,2012,575,495,365,0.278457409,315,-1,-1,-1,-1,-1,-1,-1.4992,-0.7473,-1.0697,0.06223,0.1864,200000
609356,f,12/2/1989,83.16,icse,2007,77,cbse,10950,1,M.Tech./M.E.,instrumentation and control engineering,99.93,10950,0,Punjab,2013,535,595,620,0.376059587,455,300,-1,-1,-1,313,-1,0.8463,-0.6201,-0.7585,-0.995,-0.2859,440000
1081649,f,4/17/1989,72.5,state board,2007,53.2,state board,14381,2,B.Tech/B.E.,mechanical engineering,68,14381,1,West Bengal,2013,510,495,405,0.8295846,-1,-1,-1,469,-1,-1,-1,0.1282,-0.4536,0.3174,0.9066,-0.0943,150000
610842,f,4/11/1991,77,state board,2009,88,state board,13208,2,B.Tech/B.E.,computer science & engineering,71,13208,1,Telangana,2013,370,470,280,0.704090412,465,-1,-1,-1,-1,-1,-1,0.1282,0.5454,0.4711,0.9066,-0.2859,105000
1183070,m,11/25/1992,76.8,state board,2010,87.7,state board,5338,2,B.Tech/B.E.,information technology,73.15,5338,0,Andhra Pradesh,2014,510,555,440,0.744758354,525,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.1637,0.5262,-0.0943,195000
794062,f,3/15/1993,57,state board,2009,73,state board,8346,2,B.Tech/B.E.,computer science & engineering,70.08,8346,0,Uttar Pradesh,2014,500,410,560,0.622642916,385,-1,407,-1,-1,-1,-1,-0.7335,-0.4536,-0.2974,1.4136,0.6721,200000
1088206,m,6/21/1990,77,state board,2008,75,state board,13424,2,B.Tech/B.E.,electronics & telecommunications,62,13424,0,Maharashtra,2013,675,630,485,0.20739217,405,260,-1,-1,-1,-1,-1,1.7081,0.5454,0.9322,-0.4879,0.8637,335000
1279958,m,7/2/1992,81.2,state board,2008,79.9,state board,64,2,B.Tech/B.E.,instrumentation and control engineering,67.67,64,0,Uttar Pradesh,2013,395,565,645,-1,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,300000
471413,f,12/24/1991,85,delhi board,2009,88,all india board,57,2,B.Tech/B.E.,information technology,85,57,0,Haryana,2013,495,445,605,0.765673581,485,-1,-1,-1,-1,-1,-1,-1.9629,-2.1903,-2.775,0.4148,-0.4455,480000
1088423,f,8/9/1992,90,state board,2009,82.1,state board,2998,2,B.Tech/B.E.,computer science & engineering,85,2998,0,Telangana,2014,640,530,705,0.486747008,615,-1,376,-1,-1,-1,-1,0.99,0.7119,-0.1437,-1.1218,0.8637,550000
1066680,m,9/12/1991,86.4,cbse,2009,86.2,cbse,1906,2,B.Tech/B.E.,electronics and communication engineering,81.4,1906,1,West Bengal,2014,720,630,750,0.338786347,485,292,-1,-1,-1,228,-1,1.2772,1.0449,0.7785,-1.2486,0.6721,325000
407672,m,9/30/1990,84.13,0,2008,77,0,3801,2,B.Tech/B.E.,information technology,75.2,3801,0,Karnataka,2012,385,515,465,0.525922584,415,-1,-1,-1,-1,-1,-1,0.1623,0.9688,1.1074,0.4442,-0.1295,405000
205633,m,5/25/1988,81.7,hse,2005,75.8,chse,5508,2,B.Tech/B.E.,computer engineering,78.7,5508,0,Orissa,2011,475,245,485,0.735795709,475,-1,-1,-1,-1,-1,-1,-1.3447,-1.3713,-0.4891,0.1798,1.2923,500000
924541,f,2/25/1992,86,cbse,2010,89,cbse,429,2,B.Tech/B.E.,computer science & engineering,73.9,429,0,Uttar Pradesh,2014,520,570,620,0.953899775,425,-1,530,-1,-1,-1,-1,1.2772,0.0459,0.6248,-1.3753,0.6721,210000
512353,m,10/25/1991,66.15,state board,2009,54,state board,3603,2,B.Tech/B.E.,computer science & engineering,66,3603,0,Maharashtra,2013,360,495,280,0.793580615,495,-1,-1,-1,-1,-1,-1,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934,400000
1136577,m,5/22/1991,79.29,icse,2009,68.67,cbse,5298,2,B.Tech/B.E.,computer science & engineering,76,5298,0,Tamil Nadu,2013,545,505,595,0.356536488,555,-1,346,-1,-1,-1,-1,0.2718,0.7119,0.3174,-0.1076,1.4386,360000
781327,m,11/21/1987,60,state board,2006,50,state board,11013,2,B.Tech/B.E.,computer science & engineering,69.94,11013,0,Orissa,2013,240,340,430,0.143256541,295,-1,-1,-1,-1,-1,-1,-1.8825,-2.2851,-0.2974,-0.2344,-0.6692,240000
764522,f,1/14/1992,58.4,cbse,2008,64.8,cbse,85,2,MCA,computer application,80,85,0,Haryana,2014,440,415,554,0.793580615,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543,120000
203323,m,11/3/1986,61,0,2003,59,0,3716,2,B.Tech/B.E.,information technology,63,3716,1,Karnataka,2011,355,565,495,0.930370607,565,-1,-1,-1,-1,-1,-1,-0.881,0.6568,0.672,1.4724,0.3444,430000
267354,m,8/5/1988,50,board of school education harayana,2008,64,state board of technical education harayana,7564,2,B.Tech/B.E.,electronics and communication engineering,70,7564,0,Haryana,2011,345,365,445,0.538386893,-1,333,-1,-1,-1,-1,-1,-0.4173,-1.3713,0.9042,1.5578,0.3444,120000
839626,f,4/10/1991,67.06,state board,2008,70.67,state board,13271,2,B.Tech/B.E.,computer engineering,55.5,13271,1,Maharashtra,2012,440,440,385,0.144789889,435,-1,284,-1,-1,-1,-1,1.1336,-0.2871,-0.1437,0.1459,0.2889,120000
1169332,f,3/9/1990,67,cbse,2008,61,cbse,16664,2,B.Tech/B.E.,computer science & engineering,75,16664,0,Chhattisgarh,2012,370,410,320,0.488347977,405,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,-0.9122,-0.6147,-0.6692,120000
